com.vividsolutions.jump.datastore.spatialite.SpatialiteDataStoreDriver,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteDSConnection,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteDSMetadata,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteDataStoreExtension,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteFeatureInputStream,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteSQLBuilder,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteResultSetConverter,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteValueConverterFactory,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.SpatialiteValueConverterFactory.SpatialiteGeometryValueConverter,com.vividsolutions.jump.datastore.spatialite,***
com.vividsolutions.jump.feature.FeatureUtil,com.vividsolutions.jump.feature
com.vividsolutions.jump.feature.FeatureDataset,com.vividsolutions.jump.feature
com.vividsolutions.jump.feature.FeatureDatasetFactory,com.vividsolutions.jump.feature
com.vividsolutions.jump.feature.FeatureUpdate,com.vividsolutions.jump.feature
com.vividsolutions.jump.feature.FeatureUpdateRecorder,com.vividsolutions.jump.feature
com.vividsolutions.jump.feature.FeatureUtil.IDComparator,com.vividsolutions.jump.feature,***
com.vividsolutions.jump.feature.IndexedFeatureCollection,com.vividsolutions.jump.feature
com.vividsolutions.jump.geom.AffineTransform,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.AffineTransformation,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.NoninvertibleTransformationException,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.AffineTransformationBuilder,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.Matrix,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.Angle,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.CoordinateList,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.CoordUtil,com.vividsolutions.jump.geom
com.vividsolutions.jump.util.MathUtil,com.vividsolutions.jump.util
com.vividsolutions.jump.geom.EnvelopeIntersector,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.EnvelopeIntersector.BooleanWrapper,com.vividsolutions.jump.geom,***
com.vividsolutions.jump.geom.LineSegmentEnvelopeIntersector,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.EnvelopeUtil,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.FeatureSegment,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.GeometryFactoryUtil,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.GeometryMicroscope,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.GeometryMicroscope.CoordinateAdjusterFilter,com.vividsolutions.jump.geom,***
com.vividsolutions.jump.util.CoordinateArrays,com.vividsolutions.jump.util
com.vividsolutions.jump.geom.MicroscopePointAdjuster,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.InteriorPointFinder,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.MakeValidOp,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.MaxPrecisionOverlayOp,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.MaxPrecisionOverlayOp.CoordinatePrecisionReducer,com.vividsolutions.jump.geom,***
com.vividsolutions.jump.geom.SingleSegmentExpander,com.vividsolutions.jump.geom
com.vividsolutions.jump.geom.NotRepresentableException,com.vividsolutions.jump.geom
